,日期,收盘价(元)
3045,20200710,1.0313340942381182
3046,20200713,1.036682592850837
3047,20200714,1.0310430395457284
3048,20200715,1.009881912202092
3049,20200716,1.0052283763506646
3050,20200717,1.0047669765259197
3051,20200720,1.0057757625703518
3052,20200721,1.0053804926956618
3053,20200722,1.0007657962341887
3054,20200723,0.9883923279295491
3055,20200724,0.9880019129600169
3056,20200727,0.9936463678887576
3057,20200728,0.9940408454968094
3058,20200729,0.9988182058002671
3059,20200730,0.99644401492508
3060,20200731,1.0066147189854202
3061,20200803,1.0113387618616188
3062,20200804,0.9989094084783394
3063,20200805,0.9989183986630157
3064,20200806,1.0018222544479292
3065,20200807,0.9942965656725163
3066,20200810,0.9924252995359206
3067,20200811,0.9900782137025183
3068,20200812,1.006244210775853
3069,20200813,1.0054704089777662
3070,20200814,1.003937066604075
3071,20200817,0.9992597238107667
3072,20200818,0.9901105017795553
3073,20200819,0.9802341495243042
3074,20200820,0.9882367811210206
3075,20200821,0.984761152361818
3076,20200824,0.9966216156808637
3077,20200825,0.9973850278384753
3078,20200826,0.9887147597914755
3079,20200827,0.9927655241623412
3080,20200828,0.9868953016179693
3081,20200831,0.9884259762307789
3082,20200901,0.9915078884246664
3083,20200902,0.9942970001148049
3084,20200903,0.9953827724389304
3085,20200904,1.0106449764887364
3086,20200907,1.0147441525133747
3087,20200908,1.0119881073951482
3088,20200909,1.0079786105136486
3089,20200910,1.0029649249049537
3090,20200911,1.0108953685661772
3091,20200914,1.0195476220257351
3092,20200915,1.0102258981175538
3093,20200916,1.0115583860771709
3094,20200917,1.0227350946849376
3095,20200918,1.0110656872545825
3096,20200921,1.0096431178326153
3097,20200922,1.0044020604079462
3098,20200923,1.006324485951567
3099,20200924,1.0045432916114327
3100,20200925,1.0002338008904197
3101,20200928,1.0036656030612747
3102,20200929,1.0080305447689881
3103,20200930,1.0072200882109938
3104,20201009,1.0159547008159595
3105,20201012,1.0143027584724327
3106,20201013,1.013066323409855
3107,20201014,1.0024422968762559
3108,20201015,1.0020894371877553
3109,20201016,0.9970238750827712
3110,20201019,0.998286107308626
3111,20201020,1.0024409740872444
3112,20201021,0.9934440663448114
3113,20201022,0.9969439697905441
3114,20201023,0.9989079494110316
3115,20201026,1.009264627030525
3116,20201027,1.0073197740942372
3117,20201028,1.0128670840901741
3118,20201029,1.0089351340697361
3119,20201030,1.0187096976486036
3120,20201102,1.025509584880408
3121,20201103,1.0274375428999833
3122,20201104,1.0248247692283887
3123,20201105,1.0251199187619267
3124,20201106,1.0395792352160638
3125,20201109,1.0582739886029544
3126,20201110,1.0536927205062923
3127,20201111,1.0421031542734436
3128,20201112,1.0398772219359154
3129,20201113,1.0485383593174196
3130,20201116,1.034362120699448
3131,20201117,1.038523359511022
3132,20201118,1.0397072761408643
3133,20201119,1.040650290640324
3134,20201120,1.0315217062908273
3135,20201123,1.0234345761135073
3136,20201124,1.0265857311733608
3137,20201125,1.0344534842170734
3138,20201126,1.0352313932372048
3139,20201127,1.0330273856010028
3140,20201130,1.0384011940608993
3141,20201201,1.0342507044882379
3142,20201202,1.0515764722898249
3143,20201203,1.0436623077593716
3144,20201204,1.0418400733700237
3145,20201207,1.0433684527576577
3146,20201208,1.0453299854488423
3147,20201209,1.0373332110601585
3148,20201210,1.036099821872208
3149,20201211,1.030586734720026
3150,20201214,1.024571199949465
3151,20201215,1.018509836730564
3152,20201216,1.0081882580451365
3153,20201217,1.0031674805200717
3154,20201218,1.0017530143725384
3155,20201221,1.006164734647835
3156,20201222,1.000205220924516
3157,20201223,1.0076517487942989
3158,20201224,1.0064627197307217
3159,20201225,1.00007772023675
3160,20201228,0.988765841143152
3161,20201229,1.0009800655787935
3162,20201230,0.998217360597796
3163,20201231,0.9935916213487858
3164,20210104,0.9930252741246169
3165,20210105,1.0072900821874171
3166,20210106,0.9967880757905311
3167,20210107,0.988979238004788
3168,20210108,1.0014829025108825
3169,20210111,1.0190539200354358
3170,20210112,1.0152283916196227
3171,20210113,1.0325664620917026
3172,20210114,1.0487509088185278
3173,20210115,1.0356457174619316
3174,20210118,1.0441597609051863
3175,20210119,1.032851510694583
3176,20210120,1.0320758392100515
3177,20210121,1.0251093272953837
3178,20210122,1.0153277340943312
3179,20210125,1.008242777165821
3180,20210126,1.0095303031922616
3181,20210127,1.0031490621457833
3182,20210128,0.9992959665980813
3183,20210129,0.9992599919432837
3184,20210201,0.9972205022997276
3185,20210202,0.9931578259733584
3186,20210203,0.9798336205800999
3187,20210204,0.9825830337194478
3188,20210205,0.9665354876127418
3189,20210208,0.9697656492123435
3190,20210209,0.9702272576613685
3191,20210210,0.9739121807859664
3192,20210218,0.981835930288841
3193,20210219,0.9839154587891928
3194,20210222,0.9843611724920244
3195,20210223,0.9855679992894996
3196,20210224,0.9982847831843321
3197,20210225,0.9943076166081257
3198,20210226,1.0029909050239645
3199,20210301,1.0186385661332433
3200,20210302,1.0253035182714532
3201,20210303,1.0184596172869913
3202,20210304,1.0191450406094253
3203,20210305,1.0213830831186037
3204,20210308,1.0244216977908815
3205,20210309,1.0207809030769328
3206,20210310,1.016828439420219
3207,20210311,1.016993165627405
3208,20210312,1.008845016384398
3209,20210315,1.006123152530193
3210,20210316,0.9966927602215275
3211,20210317,1.0008489690316513
3212,20210318,0.992617987110335
3213,20210319,0.9981647364223075
3214,20210322,1.0038472882667597
3215,20210323,1.0044024158171714
3216,20210324,0.996707688909596
3217,20210325,0.9949953451000494
3218,20210326,0.9945973469620094
3219,20210329,0.9912614674602989
3220,20210330,0.9884125820028179
3221,20210331,0.9964187239170407
3222,20210401,1.0044588266003274
3223,20210402,1.019940550494718
3224,20210406,1.0205769933982267
3225,20210407,1.0264453111102665
3226,20210408,1.0210800814690932
3227,20210409,1.0221869322774058
3228,20210412,1.0205677881766784
3229,20210413,1.0196615239807776
3230,20210414,1.0197553328409839
3231,20210415,1.0187906442961163
3232,20210416,1.0189546695898481
3233,20210419,1.0200337425849437
3234,20210420,1.0103393418954165
3235,20210421,1.0036529161307526
3236,20210422,1.0120033083929605
3237,20210423,1.010371959059831
3238,20210426,1.0166827423161187
3239,20210427,1.0104647106641134
3240,20210428,1.0061904449380041
3241,20210429,1.0050645178301185
3242,20210430,1.0057137895086368
3243,20210506,1.0070041203005762
3244,20210507,0.9945404303036159
3245,20210510,0.9897169092166433
3246,20210511,0.990743245651501
3247,20210512,0.9894592424051366
3248,20210513,0.9876574371247169
3249,20210514,0.980285562014018
3250,20210517,0.9754537344788509
3251,20210518,0.9723976379287286
3252,20210519,0.9791713598745401
3253,20210520,0.9720008880061789
3254,20210521,0.9740488938772079
3255,20210524,0.9752401556744198
3256,20210525,0.9709578761508534
3257,20210526,0.9659244305208874
3258,20210527,0.98269287863473
3259,20210528,0.9778177392638231
3260,20210531,0.9785892374601022
3261,20210601,0.9827316057022707
3262,20210602,0.9808172445343627
3263,20210603,0.9790380420527773
3264,20210604,0.9880246322407799
3265,20210607,1.0015161085940276
3266,20210608,1.0022612365788217
3267,20210609,1.0056318411174363
3268,20210610,1.008958471247853
3269,20210611,1.0030076341844332
3270,20210615,1.0223195431730203
3271,20210616,1.0245604676116555
3272,20210617,1.0555073165358657
3273,20210618,1.0584120726709725
3274,20210621,1.0609522616453828
3275,20210622,1.0579402181745716
3276,20210623,1.0800247202289657
3277,20210624,1.0809805421063683
3278,20210625,1.0758610182589525
3279,20210628,1.0822236603209359
3280,20210629,1.0758461162906645
3281,20210630,1.0913512105186456
3282,20210701,1.0793583520662562
3283,20210702,1.0849407934631428
3284,20210705,1.1003512924934933
3285,20210706,1.1026323207228323
3286,20210707,1.0984390100071235
3287,20210708,1.118209813748242
3288,20210709,1.1147836188789173
3289,20210712,1.109981131048787
3290,20210713,1.0873597155980128
3291,20210714,1.086934557949214
3292,20210715,1.0782282121400408
3293,20210716,1.081239703536548
3294,20210719,1.0849148372888686
3295,20210720,1.0963238017177983
3296,20210721,1.105591026813719
3297,20210722,1.1223772153738316
3298,20210723,1.1234008233942525
3299,20210726,1.1433894942449063
3300,20210727,1.1726534049606103
3301,20210728,1.1564004287678562
3302,20210729,1.176211880913507
3303,20210730,1.1863437700556958
3304,20210802,1.1672543124517296
3305,20210803,1.1366348973274958
3306,20210804,1.1491526574517634
3307,20210805,1.1500995592415035
3308,20210806,1.1488402002241342
3309,20210809,1.1299394812500467
3310,20210810,1.1200592904259963
3311,20210811,1.1270910226512907
3312,20210812,1.138289799052354
3313,20210813,1.1171824913085262
3314,20210816,1.121598713696669
3315,20210817,1.1104904000362172
3316,20210818,1.0982838895590192
3317,20210819,1.105572101450133
3318,20210820,1.1197366912139122
3319,20210823,1.122201231671274
3320,20210824,1.1178078138492809
3321,20210825,1.1054370347734108
3322,20210826,1.1060969806831704
3323,20210827,1.1041922816824339
3324,20210830,1.0941231522657717
3325,20210831,1.08196306755149
3326,20210901,1.081145103472421
3327,20210902,1.0692730490911904
3328,20210903,1.0795466245468586
3329,20210906,1.081375376528841
3330,20210907,1.0724269952880647
3331,20210908,1.0816241291996551
3332,20210909,1.069801977467503
3333,20210910,1.0849493036664652
3334,20210913,1.0700963476992713
3335,20210914,1.072780149339301
3336,20210915,1.066121402952352
3337,20210916,1.061018945917822
3338,20210917,1.0566878665805854
3339,20210922,1.068243805089511
3340,20210923,1.0756627583158576
3341,20210924,1.0709470527834009
3342,20210927,1.0676281878668252
3343,20210928,1.0717332182491732
3344,20210929,1.0719572104917872
3345,20210930,1.0725832335027143
3346,20211008,1.0748088437122325
3347,20211011,1.0777398474290356
3348,20211012,1.0691836707802964
3349,20211013,1.0715380132233547
3350,20211014,1.0664932122570991
3351,20211015,1.0769779070267986
3352,20211018,1.0737663589080446
3353,20211019,1.0710325497582647
3354,20211020,1.070075046658781
3355,20211021,1.060023831745515
3356,20211022,1.0706590508494178
3357,20211025,1.0659203138903584
3358,20211026,1.0769472595375542
3359,20211027,1.0721494594963143
3360,20211028,1.071792433726302
3361,20211029,1.0769359656157547
3362,20211101,1.0921616862976302
3363,20211102,1.103202348784413
3364,20211103,1.1024764416389128
3365,20211104,1.1063251868966741
3366,20211105,1.1207660495612364
3367,20211108,1.1071565874214142
3368,20211109,1.1155355484750196
3369,20211110,1.1281511399927235
3370,20211111,1.1340570112105857
3371,20211112,1.1357467561572894
3372,20211115,1.1338727740096297
3373,20211116,1.1270627341289279
3374,20211117,1.1295851005279083
3375,20211118,1.1237903289622002
3376,20211119,1.1296958471408967
3377,20211122,1.14838779462769
3378,20211123,1.1506616024610528
3379,20211124,1.1510597313755042
3380,20211125,1.1492318485220798
3381,20211126,1.133028828689767
3382,20211129,1.1351158677922133
3383,20211130,1.1400604325123163
3384,20211201,1.1433654677061695
3385,20211202,1.144543134137907
3386,20211203,1.1498801387723923
3387,20211206,1.1430015557822557
3388,20211207,1.1294981354022442
3389,20211208,1.1370827153814702
3390,20211209,1.1427021781608855
3391,20211210,1.1371143645096788
3392,20211213,1.1377954960140202
3393,20211214,1.1398458034978376
3394,20211215,1.138369703182308
3395,20211216,1.1356444461128894
3396,20211217,1.1273054089450825
3397,20211220,1.1239539299642887
3398,20211221,1.1268863257675656
3399,20211222,1.1401418896175695
3400,20211223,1.1442030750283874
3401,20211224,1.1481528640433853
3402,20211227,1.1447508871072247
3403,20211228,1.1443880010760117
3404,20211229,1.1386912376066554
3405,20211230,1.148800538414127
3406,20211231,1.1454977368661865
3407,20220104,1.1466798905306324
3408,20220105,1.1338921163914346
3409,20220106,1.130900908988394
3410,20220107,1.131959432239207
3411,20220110,1.1290242614314108
3412,20220111,1.122230922450378
3413,20220112,1.1204880978278124
3414,20220113,1.1171972242844923
3415,20220114,1.1266408924213691
3416,20220117,1.1378498426600694
3417,20220118,1.1406933294168768
3418,20220119,1.136532080151164
3419,20220120,1.128171750169572
3420,20220121,1.1220480339096517
3421,20220124,1.124639964867983
3422,20220125,1.1251617978116817
3423,20220126,1.1310430185288434
3424,20220127,1.1258198618692772
3425,20220128,1.1241998070880472
3426,20220207,1.117338815665389
3427,20220208,1.1072425421270364
3428,20220209,1.108590056300805
3429,20220210,1.108596707841143
3430,20220211,1.1005859880302828
3431,20220214,1.1023260144773588
3432,20220215,1.1115337436762882
3433,20220216,1.1056648455096774
3434,20220217,1.105162873669816
3435,20220218,1.0994978087793845
3436,20220221,1.0969491728586338
3437,20220222,1.1004001749564472
3438,20220223,1.1215619707210347
3439,20220224,1.1195151201244689
3440,20220225,1.1196673741808056
3441,20220228,1.115588425936665
3442,20220301,1.109672460513923
3443,20220302,1.102654891873633
3444,20220303,1.0943496952280407
3445,20220304,1.09902585147575
3446,20220307,1.0905809368330104
3447,20220308,1.106929835657074
3448,20220309,1.1145289089788597
3449,20220310,1.1043878104360612
3450,20220311,1.09807844287504
3451,20220314,1.0959273072054478
3452,20220315,1.0959481298242848
3453,20220316,1.1019067998061394
3454,20220317,1.1000875516796595
3455,20220318,1.0922307263855635
3456,20220321,1.0911734470424224
3457,20220322,1.0892693493773333
3458,20220323,1.0900666945410775
3459,20220324,1.0809711780418267
3460,20220325,1.0793583690441884
3461,20220328,1.0796174150527589
3462,20220329,1.0666965538294075
3463,20220330,1.065911465165789
3464,20220331,1.0575024896170961
3465,20220401,1.0518141837254458
3466,20220406,1.0402694712448752
3467,20220407,1.037087286932337
3468,20220408,1.0364660716474645
3469,20220411,1.0254007598665562
3470,20220412,1.0197979701146453
3471,20220413,1.0117741996857834
3472,20220414,1.0141194922806551
3473,20220415,1.0146448061776565
3474,20220418,1.034032639134099
3475,20220419,1.025782092706448
3476,20220420,1.0274305245294273
3477,20220421,1.0295675800204487
3478,20220422,1.0222648571753636
3479,20220425,1.0111548827075818
3480,20220426,1.0030363201543226
3481,20220427,1.0187709509085836
3482,20220428,1.016001931464014
3483,20220429,1.022115215085633
3484,20220505,1.0141192077580181
3485,20220506,1.009266647348896
3486,20220509,1.0055777777528359
3487,20220510,1.014030664552626
3488,20220511,1.02476519316758
3489,20220512,1.0260994374490842
3490,20220513,1.0242268059757396
3491,20220516,1.0218188487548907
3492,20220517,1.0332356307520292
3493,20220518,1.0385567942504021
3494,20220519,1.047428146386889
3495,20220520,1.039053958356526
3496,20220523,1.0390560364644428
3497,20220524,1.032899629448391
3498,20220525,1.029375375912713
3499,20220526,1.0259053515205114
3500,20220527,1.0215893677066648
3501,20220530,1.0216322744601085
3502,20220531,1.031221314988191
3503,20220601,1.0286979164304149
3504,20220602,1.0414074791879124
3505,20220606,1.0459469743896925
3506,20220607,1.0350879529015788
3507,20220608,1.0259108631111533
3508,20220609,1.015646624925726
3509,20220610,1.0143161278470734
3510,20220613,1.0096766458783009
3511,20220614,0.9926383524791046
3512,20220615,0.9993624846787981
3513,20220616,1.0082168362930524
3514,20220617,1.0008548369544406
3515,20220620,1.0004424847616153
3516,20220621,1.004183139212139
3517,20220622,0.9965694226506325
3518,20220623,1.0071988321126242
3519,20220624,1.0092706401102798
3520,20220627,1.005089231848303
3521,20220628,1.024296487068924
3522,20220629,1.020077409838687
3523,20220630,1.0194153795997019
3524,20220701,1.0191992635392266
3525,20220704,0.9953459239753546
3526,20220705,0.9941226438347889
3527,20220706,1.0083385976416264
3528,20220707,1.0088861255001458
3529,20220708,1.0158605552857283
3530,20220711,1.008631691574315
3531,20220712,0.9991576140953574
3532,20220713,0.9921575158510054
3533,20220714,0.9972839937354074
3534,20220715,1.0018046820790099
3535,20220718,0.9997419662386091
3536,20220719,0.9973045953249193
3537,20220720,0.9947604713022455
3538,20220721,1.008249423293104
3539,20220722,1.0040067097198868
3540,20220725,0.9983662000246805
3541,20220726,0.9965002535968344
3542,20220727,0.9978445324389366
3543,20220728,1.019171463630754
3544,20220729,1.0157083189973368
3545,20220801,1.0285367150662732
3546,20220802,1.0369357458815043
3547,20220803,1.0480796943424928
3548,20220804,1.0515645593261815
3549,20220805,1.0723455781475857
3550,20220808,1.0685376789995837
3551,20220809,1.0757866386139168
3552,20220810,1.0729594713276394
3553,20220811,1.0816590267211639
3554,20220812,1.0698570450806093
3555,20220815,1.073223885201478
3556,20220816,1.069841083515323
3557,20220817,1.0748415207396735
3558,20220818,1.096970357968662
3559,20220819,1.0848981991792168
3560,20220822,1.0851151788190527
3561,20220823,1.085478692403957
3562,20220824,1.065803305625443
3563,20220825,1.0525308570604892
3564,20220826,1.0429665091623805
3565,20220829,1.0408242559525611
3566,20220830,1.0434471330775617
3567,20220831,1.0364487331560104
3568,20220901,1.0324563326358935
3569,20220902,1.0479504048197603
3570,20220905,1.040736314232981
3571,20220906,1.0398423217390549
3572,20220907,1.0477451233842718
3573,20220908,1.0383657090397358
3574,20220909,1.030374446542966
3575,20220913,1.030061212711217
3576,20220914,1.0297480741025529
3577,20220915,1.0176783969259968
3578,20220916,1.0238282274786206
3579,20220919,1.014973137139158
3580,20220920,1.0126265192460921
3581,20220921,1.0107470844263715
3582,20220922,1.010060787156046
3583,20220923,1.0026863333490197
3584,20220926,1.0041803359857098
3585,20220927,1.002138837362651
3586,20220928,0.9964617208489915
3587,20220929,0.9978019618635333
3588,20220930,0.9929795849818469
3589,20221010,0.9808235289024991
3590,20221011,0.9770355884338776
3591,20221012,0.9954028804608461
3592,20221013,0.9935872656068855
3593,20221014,0.9910923679829465
3594,20221017,1.0000617539131922
3595,20221018,0.9955224736121803
3596,20221019,0.9992297993039121
3597,20221020,1.0192083999111945
3598,20221021,1.0142754312556244
3599,20221024,1.0225184476854388
3600,20221025,1.0211206649674527
3601,20221026,1.0269298204304527
3602,20221027,1.0304634859425539
3603,20221028,1.0298637561937354
3604,20221031,1.0398637332663767
3605,20221101,1.027872024694349
3606,20221102,1.0280919893076335
3607,20221103,1.0382012178384954
3608,20221104,1.0274226127948962
3609,20221107,1.0240567763153803
3610,20221108,1.0191413037890664
3611,20221109,1.016056363062497
3612,20221110,1.0024188545574721
3613,20221111,0.9995790019425108
3614,20221114,1.0002787072438706
3615,20221115,1.0243054017918682
3616,20221116,1.0190363748050508
3617,20221117,1.0311904216473506
3618,20221118,1.0210146345665345
3619,20221121,1.0237141972603285
3620,20221122,1.0283342194325644
3621,20221123,1.027379925276931
3622,20221124,1.0220550151242205
3623,20221125,1.015722362250511
3624,20221128,1.0113364730903132
3625,20221129,1.0040406917734397
3626,20221130,1.0047967344143451
3627,20221201,1.0029981482597434
3628,20221202,0.9981125442795703
3629,20221205,0.9952669254158292
3630,20221206,1.0046174581801108
3631,20221207,0.9953980837663919
3632,20221208,0.9863529013792067
3633,20221209,0.9879675610787646
3634,20221212,1.0042304951016823
3635,20221213,0.9928716439715872
3636,20221214,0.9921289759818965
3637,20221215,1.0085110096333096
3638,20221216,0.9979851802257668
3639,20221219,0.9931808795681599
3640,20221220,1.0035516743126107
3641,20221221,0.9932462021690945
3642,20221222,0.9868914129676166
3643,20221223,0.9773758059637828
3644,20221226,0.9889674830225132
3645,20221227,0.9849651316187211
3646,20221228,0.9792976422513869
3647,20221229,0.9780460998645897
3648,20221230,0.9726981437905301
3649,20230103,0.9828813206578733
3650,20230104,0.9763677661458735
3651,20230105,0.9741133329738427
3652,20230106,0.9747922899669255
3653,20230109,0.9741313807943279
3654,20230110,0.9821484820582652
3655,20230111,0.9801586492336152
3656,20230112,0.9827100021975702
3657,20230113,0.9728033026654165
3658,20230116,0.9769046413894539
3659,20230117,0.990512923044009
3660,20230118,0.9902207217317109
3661,20230119,0.9988346517900552
3662,20230120,0.9954765696907371
3663,20230130,0.9974904187912216
3664,20230131,0.9888052697148064
3665,20230201,0.9917281780920834
3666,20230202,0.995214102638077
3667,20230203,1.0014132912834095
3668,20230206,0.999952229291427
3669,20230207,0.9995972462500285
3670,20230208,0.9954409209001209
3671,20230209,1.0119861444464018
